n,r
"(:Firm {name: ""TysonJab Ltd.""})",[:WORKS]
"(:Person {role: ""CEO"",email_account: "" t.josher@ko.com"",surname: ""Josher"",name: ""Tony"",phone_number: ""07410928574"",age: 32})",[:WORKS]
"(:Firm {name: ""K.O. Inc.""})",[:WORKS]
"(:Person {role: ""VPSales"",email_account: ""a.reed@ko.com"",surname: ""Reed"",name: ""Apollo"",phone_number: ""07620418975"",age: 44})",[:WORKS]
"(:Firm {name: ""K.O. Inc.""})",[:WORKS]
"(:Person {role: ""ZoneManager"",email_account: ""i.drako@ko.com"",surname: ""Drako"",name: ""Ivana"",phone_number: ""07093657142"",age: 32})",[:WORKS]
"(:Firm {name: ""K.O. Inc.""})",[:WORKS]
"(:Person {role: ""SalesAgent"",email_account: ""c.alves@ko.com"",surname: ""Alves"",name: ""Canela"",phone_number: ""07153829476"",age: 29})",[:WORKS]
"(:Firm {name: ""K.O. Inc.""})",[:WORKS]
"(:Person {role: ""SalesAgent"",email_account: ""r.balbota@ko.com"",surname: ""Balbota"",name: ""Ronnie"",phone_number: ""07684290375"",age: 28})",[:WORKS]
"(:Firm {name: ""K.O. Inc.""})",[:WORKS]
"(:Person {role: ""CEO"",email_account: "" t.dfuriouso@tjab.com"",surname: ""Defurious"",name: ""Tyson"",phone_number: ""07435794812"",age: 35})",[:WORKS]
"(:Firm {name: ""TysonJab Ltd.""})",[:WORKS]
"(:Person {role: ""CEO"",email_account: ""c.monzon@punchgear.com"",surname: ""Monzon"",name: ""Charlie"",phone_number: ""07337794873"",age: 27})",[:MANAGES]
"(:Person {role: ""VPSales"",email_account: ""v.dalston@punchgear.com"",surname: ""Dalston"",name: ""Veronica"",phone_number: ""07475826107"",age: 53})",[:MANAGES]
"(:Person {role: ""VPSales"",email_account: ""v.dalston@punchgear.com"",surname: ""Dalston"",name: ""Veronica"",phone_number: ""07475826107"",age: 53})",[:MANAGES]
"(:Person {role: ""ZoneManager"",email_account: ""k.chong@punchgear.com"",surname: ""Chong"",name: ""Kim"",phone_number: ""07765243981"",age: 28})",[:MANAGES]
"(:Person {role: ""ZoneManager"",email_account: ""k.chong@punchgear.com"",surname: ""Chong"",name: ""Kim"",phone_number: ""07765243981"",age: 28})",[:MANAGES]
"(:Person {role: ""SalesAgent"",email_account: ""lbax@punchgear.com"",surname: ""Bax"",name: ""Lucas"",phone_number: ""07765243981"",age: 22})",[:MANAGES]
"(:Person {role: ""ZoneManager"",email_account: ""k.chong@punchgear.com"",surname: ""Chong"",name: ""Kim"",phone_number: ""07765243981"",age: 28})",[:MANAGES]
"(:Person {role: ""SalesAgent"",email_account: ""clight@punchgear.com"",surname: ""Light"",name: ""Christian"",phone_number: ""07841509627"",age: 42})",[:MANAGES]
"(:Person {role: ""CEO"",email_account: "" t.josher@ko.com"",surname: ""Josher"",name: ""Tony"",phone_number: ""07410928574"",age: 32})",[:MANAGES]
"(:Person {role: ""VPSales"",email_account: ""a.reed@ko.com"",surname: ""Reed"",name: ""Apollo"",phone_number: ""07620418975"",age: 44})",[:MANAGES]
"(:Person {role: ""VPSales"",email_account: ""a.reed@ko.com"",surname: ""Reed"",name: ""Apollo"",phone_number: ""07620418975"",age: 44})",[:MANAGES]
"(:Person {role: ""ZoneManager"",email_account: ""i.drako@ko.com"",surname: ""Drako"",name: ""Ivana"",phone_number: ""07093657142"",age: 32})",[:MANAGES]
"(:Person {role: ""ZoneManager"",email_account: ""i.drako@ko.com"",surname: ""Drako"",name: ""Ivana"",phone_number: ""07093657142"",age: 32})",[:MANAGES]
"(:Person {role: ""SalesAgent"",email_account: ""c.alves@ko.com"",surname: ""Alves"",name: ""Canela"",phone_number: ""07153829476"",age: 29})",[:MANAGES]
"(:Person {role: ""ZoneManager"",email_account: ""i.drako@ko.com"",surname: ""Drako"",name: ""Ivana"",phone_number: ""07093657142"",age: 32})",[:MANAGES]
"(:Person {role: ""SalesAgent"",email_account: ""r.balbota@ko.com"",surname: ""Balbota"",name: ""Ronnie"",phone_number: ""07684290375"",age: 28})",[:MANAGES]
"(:Person {role: ""CEO"",email_account: "" t.dfuriouso@tjab.com"",surname: ""Defurious"",name: ""Tyson"",phone_number: ""07435794812"",age: 35})",[:MANAGES]
"(:Person {role: ""VPSales"",email_account: ""r.martino@tjab.com"",surname: ""Martino"",name: ""Ricky"",phone_number: ""07065498216"",age: 67})",[:MANAGES]
"(:Person {role: ""VPSales"",email_account: ""r.martino@tjab.com"",surname: ""Martino"",name: ""Ricky"",phone_number: ""07065498216"",age: 67})",[:MANAGES]
"(:Person {role: ""ZoneManager"",email_account: ""l.levy@tjab.com"",surname: ""Levy"",name: ""Lena"",phone_number: ""07682103459"",age: 54})",[:MANAGES]
"(:Person {role: ""ZoneManager"",email_account: ""l.levy@tjab.com"",surname: ""Levy"",name: ""Lena"",phone_number: ""07682103459"",age: 54})",[:MANAGES]
"(:Person {role: ""SalesAgent"",email_account: ""g.foreguy@tjab.com"",surname: ""Foreguy"",name: ""Georgie"",phone_number: ""07263948105"",age: 34})",[:MANAGES]
"(:Person {role: ""ZoneManager"",email_account: ""l.levy@tjab.com"",surname: ""Levy"",name: ""Lena"",phone_number: ""07682103459"",age: 54})",[:MANAGES]
"(:Person {role: ""SalesAgent"",email_account: ""f.juneclimatey@tjab.com"",surname: ""Juneclimate"",name: ""Floyd"",phone_number: ""07921587064"",age: 28})",[:MANAGES]
